word,phonetic,translation,definition,pos,exchange,frequency
able,əbl,"suf. [附在动词或名词后构成形容词] 表示：“能…的,会…的”：durable; “可以…的”：drinkable; “具有…特性的”：fashionable; “有助于…的”,“倾向于…的”：peaceable; “易于…的”：breakable",,,,
age,idʒ,comb. 表示数量;表示动作;表示身份;表示地方,,,,
an,æn,"suf. 表示; “碳水化合物的酐类”：dextran; “不饱和的碳化物”：tolan; 用于专有人、地名等后构成通常可兼作名词用的形容词表示“…时期的(人)”, “…地方的(人)”, “在…居住的(人)”, “在…出生的(人)”：American, Asian, Elizabethan, Victorian; 用于表示体制、学科等的词后及宗教或其他流派创始人的人名后构成可兼作名词的形容词或单词性的形容词或名词表示“精通…的(人)”, “带有…特征的(人)”, “属于…的(人)”, “信奉…的(人)”, “追随…的(人)”",,,,
ant,ənt,"suf. [构成形容词] 表示：进行...动作的,处于...状态的,促进...作用的：repentant, triumphant, expectorant; 有...的,显示...的,做...的：defiant, radiant; [构成名词]表示进行...动作的人,施行...作用者,...者(人或物):accountant, assistant, occupant",,,,
arch,ɑ:k,"表示“原始的”; 表示“统治者”, “首领”, “领导者”",,,,
ate,,"[医]〔后缀〕构成分词名词。加于词根, 表示为该词根原意的产物或作用。例如hemolysate表示溶血产物",,,,
d,,——见 -ed,,,,
enabled,,能与某一系统（或技术）使用的,,,,
est,,构成形容词和副词的最高级),,,,
form,fɔ:m,"表示：具有...形状：dentiform,有...种形式：triform",,,,
ful,ful,suff. 表示充满...的；表示有...倾向的；表示有...性质的；表示充满...的量,,,,
gate,geɪt,n. 大门；出入口；门道\nvt. 给…装大门\nn. (Gate)人名；(英)盖特；(法、瑞典)加特,,,,
head,hed,n. 头；头痛；上端；最前的部分；理解力\nvt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题\nvi. 出发；成头状物；船驶往\na. 头的；主要的；在顶端的\nn. (Head)人名；(英)黑德,,,,
in,,很多人参加的活动,,,,
its,ɪts,pron. 它的\nn. (Its)人名；(俄)伊茨,,,,
